YAL064W-B	YAL064W-B	YAL064W-B	Fungal-specific protein of unknown function
TIP41	YPR040W	TIP41	Protein that interacts physically and genetically with Tap42p, which regulates protein phosphatase 2A; component of the TOR (target of rapamycin) signaling pathway
RPL43A	YPR043W	RPL43A	Protein component of the large (60S) ribosomal subunit, identical to Rpl43Bp and has similarity to rat L37a ribosomal protein; null mutation confers a dominant lethal phenotype
NHP6A	YPR052C	NHP6A	High-mobility group (HMG) protein that binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Bp; homologous to mammalian HMGB1 and HMGB2
YPR071W	YPR071W	YPR071W	Putative membrane protein; YPR071W is not an essential gene
OPY2	YPR075C	OPY2	Integral membrane protein that functions in the signaling branch of the high-osmolarity glycerol (HOG) pathway; interacts with Ste50p; overproduction blocks cell cycle arrest in the presence of mating pheromone
GRS2	YPR081C	GRS2	Protein with sequence similarity to Grs1p, which is a glycyl-tRNA synthetase; cannot substitute for Grs1p; possible pseudogene that is expressed at very low levels
ASR1	YPR093C	ASR1	Ubiquitin ligase that modifies and regulates RNA Pol II; involved in a putative alcohol-responsive signaling pathway; accumulates in the nucleus under alcohol stress; contains a Ring/PHD finger domain similar to the mammalian rA9 protein
SYT1	YPR095C	SYT1	Guanine nucleotide exchange factor (GEF) for Arf proteins; promotes activation of Arl1p, which recruits Imh1p to the Golgi; involved in vesicular transport; member of the Sec7-domain family; contains a PH domain
GLD1	YPR109W	GLD1	Predicted membrane protein; dipoid deletion strain has high budding index
RGC1	YPR115W	RGC1	Pleckstrin homology domain containing protein proposed to function as a glycerol channel activator; paralogous to Ask10p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YPR127W	YPR127W	YPR127W	Protein of unknown function, differentially expressed during alcoholic fermentation; expression activated by transcription factor YRM1/YOR172W; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
SCD6	YPR129W	SCD6	Protein containing an Lsm domain; negatively regulates translation initiation via 48S preinitiation complex assembly; may bind RNA and have a role in RNA processing; overproduction suppresses null mutation in clathrin heavy chain gene CHC1
YPR130C	YPR130C	YPR130C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
SPN1	YPR133C	SPN1	Protein involved in RNA polymerase II transcription; interacts genetically or physically with RNAP II, TBP, TFIIS, and chromatin remodelling factors; central domain highly conserved throughout eukaryotes; mutations confer an Spt- phenotype
MSS18	YPR134W	MSS18	Nuclear encoded protein needed for efficient splicing of mitochondrial COX1 aI5beta intron; mss18 mutations block cleavage of 5' exon - intron junction; phenotype of intronless strain suggests additional functions
MEP3	YPR138C	MEP3	Ammonium permease of high capacity and low affinity; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation ammonia permease
ASN1	YPR145W	ASN1	Asparagine synthetase, isozyme of Asn2p; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway
YPR147C	YPR147C	YPR147C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS
NCE102	YPR149W	NCE102	Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs)
SUE1	YPR151C	SUE1	Mitochondrial protein required for degradation of unstable forms of cytochrome c
PIN3	YPR154W	PIN3	Protein that induces appearance of [PIN+] prion when overproduced
GPH1	YPR160W	GPH1	Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulated by cyclic AMP-mediated phosphorylation, expression is regulated by stress-response elements and by the HOG MAP kinase pathway
ORC4	YPR162C	ORC4	Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing
YPR172W	YPR172W	YPR172W	Protein of unknown function, transcriptionally activated by Yrm1p along with genes involved in multidrug resistance
PRP4	YPR178W	PRP4	Splicing factor, component of the U4/U6-U5 snRNP complex
GDB1	YPR184W	GDB1	Glycogen debranching enzyme containing glucanotranferase and alpha-1,6-amyloglucosidase activities, required for glycogen degradation; phosphorylated in mitochondria; activity is inhibited by Igd1p
ATG13	YPR185W	ATG13	Regulatory subunit of the Atg1p signaling complex; stimulates Atg1p kinase activity; required for vesicle formation during autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; involved in Atg9p, Atg23p, and Atg27p cycling
MLC2	YPR188C	MLC2	Regulatory light chain for the type II myosin, Myo1p; binds to an IQ motif of Myo1p, localization to the bud neck depends on Myo1p; involved in the disassembly of the Myo1p ring
QCR2	YPR191W	QCR2	Subunit 2 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
GDH3	YAL062W	GDH3	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources
BDH2	YAL061W	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
ECM1	YAL059W	ECM1	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
SPC72	YAL047C	SPC72	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization
BOL3	YAL046C	BOL3	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
PTA1	YAL043C	PTA1	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
MTW1	YAL034W-A	MTW1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly
FUN19	YAL034C	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress
PRP45	YAL032C	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
GIP4	YAL031C	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
FRT2	YAL028W	FRT2	Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate
MAK16	YAL025C	MAK16	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
PSK1	YAL017W	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status
DEP1	YAL013W	DEP1	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
FUN14	YAL008W	FUN14	Mitochondrial protein of unknown function
SEN34	YAR008W	SEN34	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
YBL113C	YBL113C	YBL113C	Helicase-like protein encoded within the telomeric Y' element
PKC1	YBL105C	PKC1	Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC)
SFT2	YBL102W	SFT2	Non-essential tetra-spanning membrane protein found mostly in the late Golgi, can suppress some sed5 alleles; may be part of the transport machinery, but precise function is unknown; similar to mammalian syntaxin 5
ECM21	YBL101C	ECM21	Protein involved in regulating the endocytosis of plasma membrane proteins; identified as a substrate for ubiquitination by Rsp5p and deubiquitination by Ubp2p; promoter contains several Gcn4p binding elements
YBL081W	YBL081W	YBL081W	Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport
PET112	YBL080C	PET112	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog
SEF1	YBL066C	SEF1	Putative transcription factor, has homolog in Kluyveromyces lactis
PRX1	YBL064C	PRX1	Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated
SEC17	YBL050W	SEC17	Peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; stimulates the ATPase activity of Sec18p; has similarity to mammalian alpha-SNAP
RRT1	YBL048W	RRT1	Identified in a screen for mutants with increased levels of rDNA transcription; dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data
EDE1	YBL047C	EDE1	Key endocytic protein involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins
PET9	YBL030C	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; phosphorylated; required for viability in many lab strains that carry a sal1 mutation
LSM2	YBL026W	LSM2	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA
MCM2	YBL023C	MCM2	Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex
PIM1	YBL022C	PIM1	ATP-dependent Lon protease, involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria
FUS3	YBL016W	FUS3	Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation
ACH1	YBL015W	ACH1	Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
